Location,Resort,Pass,Year,Total Snowfall,Snowfall Days,Average Base Depth,Average Summit Depth,Max Base Depth,Biggest Snowfall
valais,Thyon 2000,Epic,2015 - 2016,201,13,30,141,60,40
valais,Thyon 2000,Epic,2016 - 2017,87,6,21,125,40,30
valais,Thyon 2000,Epic,2017 - 2018,449,20,25,213,70,70
valais,Thyon 2000,Epic,2018 - 2019,196,12,17,140,25,30
valais,Thyon 2000,Epic,2019 - 2020,165,7,23,109,50,50
valais,Thyon 2000,Epic,2020 - 2021,250,16,38,120,50,40
valais,Thyon 2000,Epic,2021 - To Date,180,7,31,90,50,70
colorado,Vail,Epic,2012 - 2013,285,81,25,24,71,13
colorado,Vail,Epic,2013 - 2014,263,65,39,36,449,21
colorado,Vail,Epic,2014 - 2015,236,56,30,28,65,12
colorado,Vail,Epic,2015 - 2016,313,74,36,35,77,15
colorado,Vail,Epic,2016 - 2017,215,69,31,30,65,10
colorado,Vail,Epic,2017 - 2018,171,45,28,27,70,11
colorado,Vail,Epic,2018 - 2019,281,77,42,42,96,15
colorado,Vail,Epic,2019 - 2020,229,59,32,31,87,17
colorado,Vail,Epic,2020 - 2021,218,64,36,35,63,13
colorado,Vail,Epic,2021 - To Date,186,54,43,43,71,11
northern-alps,Val Thorens,Epic,2012 - 2013,738,58,126,237,200,55
northern-alps,Val Thorens,Epic,2013 - 2014,619,49,96,164,155,75
northern-alps,Val Thorens,Epic,2014 - 2015,513,40,86,137,150,60
northern-alps,Val Thorens,Epic,2015 - 2016,610,44,113,178,190,50
northern-alps,Val Thorens,Epic,2016 - 2017,445,27,91,170,180,45
northern-alps,Val Thorens,Epic,2017 - 2018,629,47,180,224,275,40
northern-alps,Val Thorens,Epic,2018 - 2019,469,48,126,166,216,33
northern-alps,Val Thorens,Epic,2019 - 2020,726,61,175,225,384,35
northern-alps,Val Thorens,Epic,2020 - 2021,463,40,109,149,221,34
northern-alps,Val Thorens,Epic,2021 - To Date,471,44,329,147,35140,39
valais,Verbier,Epic,2012 - 2013,623,33,72,187,150,80
valais,Verbier,Epic,2013 - 2014,406,44,35,121,100,31
valais,Verbier,Epic,2014 - 2015,227,24,23,115,75,45
valais,Verbier,Epic,2015 - 2016,364,30,27,136,60,35
valais,Verbier,Epic,2016 - 2017,186,17,22,127,60,42
valais,Verbier,Epic,2017 - 2018,793,42,68,228,120,60
valais,Verbier,Epic,2018 - 2019,480,32,64,169,135,60
valais,Verbier,Epic,2019 - 2020,594,34,42,202,95,45
valais,Verbier,Epic,2020 - 2021,316,27,45,140,112,35
valais,Verbier,Epic,2021 - To Date,288,27,31,83,80,26
valais,Veysonnaz - Printze,Epic,2012 - 2013,290,24,37,195,65,25
valais,Veysonnaz - Printze,Epic,2013 - 2014,306,29,35,132,85,40
valais,Veysonnaz - Printze,Epic,2014 - 2015,89,9,14,142,30,30
valais,Veysonnaz - Printze,Epic,2015 - 2016,186,12,30,141,60,40
valais,Veysonnaz - Printze,Epic,2016 - 2017,87,6,21,124,40,30
valais,Veysonnaz - Printze,Epic,2017 - 2018,459,21,23,213,70,70
valais,Veysonnaz - Printze,Epic,2018 - 2019,251,15,21,218,25,30
valais,Veysonnaz - Printze,Epic,2019 - 2020,265,10,28,112,50,50
valais,Veysonnaz - Printze,Epic,2020 - 2021,245,16,38,113,50,40
valais,Veysonnaz - Printze,Epic,2021 - To Date,157,7,27,74,50,70
british-columbia,Whistler Blackcomb,Epic,2012 - 2013,280,61,52,65,112,19
british-columbia,Whistler Blackcomb,Epic,2013 - 2014,274,80,54,53,117,25
british-columbia,Whistler Blackcomb,Epic,2014 - 2015,219,68,31,40,79,13
british-columbia,Whistler Blackcomb,Epic,2015 - 2016,435,98,68,67,148,21
british-columbia,Whistler Blackcomb,Epic,2016 - 2017,505,110,27,77,106,25
british-columbia,Whistler Blackcomb,Epic,2017 - 2018,316,94,81,70,132,24
british-columbia,Whistler Blackcomb,Epic,2018 - 2019,374,82,44,66,106,29
british-columbia,Whistler Blackcomb,Epic,2019 - 2020,295,76,40,39,108,18
british-columbia,Whistler Blackcomb,Epic,2020 - 2021,281,76,45,41,118,25
british-columbia,Whistler Blackcomb,Epic,2021 - To Date,321,76,0,69,0,24
minnesota,Afton Alps,Epic,2012 - 2013,58,16,21,27,39,15
minnesota,Afton Alps,Epic,2013 - 2014,83,37,29,41,68,6
minnesota,Afton Alps,Epic,2014 - 2015,35,21,15,26,30,3
minnesota,Afton Alps,Epic,2015 - 2016,27,10,13,20,35,11
minnesota,Afton Alps,Epic,2016 - 2017,29,8,10,26,24,7
minnesota,Afton Alps,Epic,2017 - 2018,42,11,10,30,24,11
minnesota,Afton Alps,Epic,2018 - 2019,56,16,11,34,30,7
minnesota,Afton Alps,Epic,2019 - 2020,34,11,11,15,24,6
minnesota,Afton Alps,Epic,2020 - 2021,38,16,6,12,12,6
minnesota,Afton Alps,Epic,2021 - To Date,19,7,20,13,40,5
trentino,Folgaria - Lavarone,Epic,2012 - 2013,400,20,85,87,160,40
trentino,Folgaria - Lavarone,Epic,2013 - 2014,385,14,69,127,100,50
trentino,Folgaria - Lavarone,Epic,2014 - 2015,350,15,36,61,100,50
trentino,Folgaria - Lavarone,Epic,2015 - 2016,145,7,33,58,60,40
trentino,Folgaria - Lavarone,Epic,2016 - 2017,120,8,22,40,50,40
trentino,Folgaria - Lavarone,Epic,2017 - 2018,150,9,37,67,50,40
trentino,Folgaria - Lavarone,Epic,2018 - 2019,102,10,39,60,80,40
trentino,Folgaria - Lavarone,Epic,2019 - 2020,240,15,31,57,50,40
trentino,Folgaria - Lavarone,Epic,2020 - 2021,165,5,41,105,100,60
trentino,Folgaria - Lavarone,Epic,2021 - To Date,110,6,21,35,40,40
trentino,Paganella Ski,Epic,2012 - 2013,253,12,29,85,85,70
trentino,Paganella Ski,Epic,2013 - 2014,551,16,36,272,116,60
trentino,Paganella Ski,Epic,2014 - 2015,271,13,10,87,25,38
trentino,Paganella Ski,Epic,2015 - 2016,237,13,220,85,1050,60
trentino,Paganella Ski,Epic,2016 - 2017,118,9,10,35,25,40
trentino,Paganella Ski,Epic,2017 - 2018,245,16,26,108,39,35
trentino,Paganella Ski,Epic,2018 - 2019,164,10,27,67,60,60
trentino,Paganella Ski,Epic,2019 - 2020,242,11,37,126,50,60
trentino,Paganella Ski,Epic,2020 - 2021,90,2,81,76,200,60
trentino,Paganella Ski,Epic,2021 - To Date,148,12,35,69,40,50
colorado,Crested Butte,Epic,2012 - 2013,143,39,26,25,56,11
colorado,Crested Butte,Epic,2013 - 2014,246,49,42,38,87,25
colorado,Crested Butte,Epic,2014 - 2015,192,41,26,25,63,21
colorado,Crested Butte,Epic,2015 - 2016,132,37,33,29,70,12
colorado,Crested Butte,Epic,2016 - 2017,335,68,45,43,90,21
colorado,Crested Butte,Epic,2017 - 2018,145,40,24,23,57,11
colorado,Crested Butte,Epic,2018 - 2019,251,72,44,43,100,14
colorado,Crested Butte,Epic,2019 - 2020,168,49,26,25,72,10
colorado,Crested Butte,Epic,2020 - 2021,144,52,30,29,63,11
colorado,Crested Butte,Epic,2021 - To Date,228,49,49,47,85,22
trentino,Monte Bondone,Epic,2012 - 2013,145,6,40,84,80,50
trentino,Monte Bondone,Epic,2013 - 2014,290,7,73,129,140,70
trentino,Monte Bondone,Epic,2014 - 2015,118,8,22,53,70,60
trentino,Monte Bondone,Epic,2015 - 2016,95,6,42,47,100,45
trentino,Monte Bondone,Epic,2016 - 2017,75,4,31,31,60,40
trentino,Monte Bondone,Epic,2017 - 2018,152,9,44,68,75,60
trentino,Monte Bondone,Epic,2018 - 2019,102,5,22,49,70,60
trentino,Monte Bondone,Epic,2019 - 2020,45,4,22,113,35,22
trentino,Monte Bondone,Epic,2020 - 2021,40,1,28,50,100,40
trentino,Monte Bondone,Epic,2021 - To Date,40,1,19,47,40,40
new-hampshire,Mount Sunapee,Epic,2012 - 2013,96,24,12,20,25,20
new-hampshire,Mount Sunapee,Epic,2013 - 2014,132,36,13,24,24,14
new-hampshire,Mount Sunapee,Epic,2014 - 2015,143,37,14,24,36,14
new-hampshire,Mount Sunapee,Epic,2015 - 2016,32,11,7,14,18,6
new-hampshire,Mount Sunapee,Epic,2016 - 2017,130,32,14,21,31,16
new-hampshire,Mount Sunapee,Epic,2017 - 2018,170,31,11,17,24,20
new-hampshire,Mount Sunapee,Epic,2018 - 2019,71,20,12,18,24,12
new-hampshire,Mount Sunapee,Epic,2019 - 2020,42,16,13,13,34,6
new-hampshire,Mount Sunapee,Epic,2020 - 2021,71,20,14,17,33,16
new-hampshire,Mount Sunapee,Epic,2021 - To Date,50,18,22,22,34,6
michigan,Mt. Brighton,Epic,2012 - 2013,11,4,12,11,28,4
michigan,Mt. Brighton,Epic,2013 - 2014,62,21,22,29,53,8
michigan,Mt. Brighton,Epic,2014 - 2015,36,13,14,17,30,12
michigan,Mt. Brighton,Epic,2015 - 2016,30,11,10,15,27,10
michigan,Mt. Brighton,Epic,2016 - 2017,30,13,12,13,34,7
michigan,Mt. Brighton,Epic,2017 - 2018,77,32,17,17,43,6
michigan,Mt. Brighton,Epic,2018 - 2019,26,16,17,17,41,4
michigan,Mt. Brighton,Epic,2019 - 2020,44,22,16,16,38,5
michigan,Mt. Brighton,Epic,2020 - 2021,39,22,16,16,46,9
michigan,Mt. Brighton,Epic,2021 - To Date,39,15,24,24,43,6
trentino,Pejo,Epic,2012 - 2013,245,11,47,113,90,50
trentino,Pejo,Epic,2013 - 2014,285,15,88,185,160,45
trentino,Pejo,Epic,2014 - 2015,180,7,40,119,80,60
trentino,Pejo,Epic,2015 - 2016,133,8,13,59,50,60
trentino,Pejo,Epic,2016 - 2017,160,10,16,79,35,50
trentino,Pejo,Epic,2017 - 2018,397,18,54,157,80,50
trentino,Pejo,Epic,2018 - 2019,25,2,10,170,10,15
trentino,Pejo,Epic,2019 - 2020,75,5,39,179,80,40
trentino,Pejo,Epic,2020 - 2021,0,0,0,0,0,0
trentino,Pejo,Epic,2021 - To Date,0,0,30,74,40,0
trentino,Pinzolo,Epic,2012 - 2013,155,5,22,69,40,40
trentino,Pinzolo,Epic,2013 - 2014,410,9,35,161,50,100
trentino,Pinzolo,Epic,2014 - 2015,190,8,10,43,20,50
trentino,Pinzolo,Epic,2015 - 2016,165,6,13,53,40,60
trentino,Pinzolo,Epic,2016 - 2017,82,7,18,37,30,30
trentino,Pinzolo,Epic,2017 - 2018,123,4,36,132,50,80
trentino,Pinzolo,Epic,2018 - 2019,55,3,20,70,50,30
trentino,Pinzolo,Epic,2019 - 2020,30,5,34,112,42,10
trentino,Pinzolo,Epic,2020 - 2021,0,0,8,34,40,0
trentino,Pinzolo,Epic,2021 - To Date,54,2,23,54,25,40
colorado,Telluride,Epic,2012 - 2013,196,46,27,26,63,12
colorado,Telluride,Epic,2013 - 2014,179,36,43,39,80,15
colorado,Telluride,Epic,2014 - 2015,204,43,33,31,75,16
colorado,Telluride,Epic,2015 - 2016,241,51,40,36,75,19
colorado,Telluride,Epic,2016 - 2017,294,59,39,33,86,19
colorado,Telluride,Epic,2017 - 2018,159,37,20,23,48,12
colorado,Telluride,Epic,2018 - 2019,323,63,44,42,110,19
colorado,Telluride,Epic,2019 - 2020,205,48,24,24,55,19
colorado,Telluride,Epic,2020 - 2021,206,49,24,30,64,17
colorado,Telluride,Epic,2021 - To Date,179,39,34,37,58,20
wisconsin,Wilmot Mountain,Epic,2012 - 2013,44,18,14,33,56,12
wisconsin,Wilmot Mountain,Epic,2013 - 2014,58,21,20,52,47,7
wisconsin,Wilmot Mountain,Epic,2014 - 2015,15,6,18,30,226,4
wisconsin,Wilmot Mountain,Epic,2015 - 2016,12,6,4,15,16,5
wisconsin,Wilmot Mountain,Epic,2016 - 2017,17,9,6,10,20,4
wisconsin,Wilmot Mountain,Epic,2017 - 2018,37,15,6,10,28,8
wisconsin,Wilmot Mountain,Epic,2018 - 2019,35,9,9,15,24,10
wisconsin,Wilmot Mountain,Epic,2019 - 2020,6,1,9,17,29,6
wisconsin,Wilmot Mountain,Epic,2020 - 2021,22,11,9,10,20,5
wisconsin,Wilmot Mountain,Epic,2021 - To Date,10,4,19,18,64,4
